id_doc;original_name
Ner_BCN_053;Meca
Ner_BCN_053;Valencia
Ner_BCN_053;Valencia
Ner_BCN_053;Arabia
Ner_BCN_053;Valencia
Ner_BCN_054;Barcelona
Ner_BCN_054;Troya
Ner_BCN_055;Barcelona
Ner_BCN_055;Troya
Ner_BCN_056;Roma
Ner_BCN_056;Moscovia
Ner_BCN_056;Assia
Ner_BCN_056;América
Ner_BCN_056;Europa
Ner_BCN_057;Asinaria
Ner_BCN_057;catalá
Ner_BCN_057;Castella
Ner_BCN_057;Aanes
Ner_BCN_057;Inglaterra
Ner_BCN_057;Alemanya
Ner_BCN_057;Israel
Ner_BCN_057;Judea
Ner_BCN_057;Jerusalem
Ner_BCN_057;Egipte
Ner_BCN_057;Libia
Ner_BCN_057;Barcelona
Ner_BCN_057;Sardenya
Ner_BCN_057;Cartuxa
Ner_BCN_057;Sant Geroni
Ner_BCN_058;Born
Ner_BCN_058;Ripoll
Ner_BCN_058;Riudoms
Ner_BCN_058;Puiggrós
Ner_BCN_058;Vich
Ner_BCN_058;Torelló
Ner_BCN_058;Puiggrós
Ner_BCN_059;Born
Ner_BCN_059;Ripoll
Ner_BCN_059;Riudoms
Ner_BCN_059;Puiggrós
Ner_BCN_059;Vich
Ner_BCN_059;Torelló
Ner_BCN_059;Puiggrós
Ner_BCN_062;Flandes
Ner_BCN_062;Francia
Ner_BCN_062;Francia
Ner_BCN_062;Tolon
Ner_BCN_062;Levante
Ner_BCN_062;España
Ner_BCN_062;Alicante
Ner_BCN_062;Valencia
Ner_BCN_062;Castilla
Ner_BCN_062;Navarra
Ner_BCN_062;Zaragoza
Ner_BCN_063;Roma
Ner_BCN_063;Nápoles
Ner_BCN_063;Roma
Ner_BCN_063;Roma
Ner_BCN_063;Roma
Ner_BCN_064;Albania
Ner_BCN_064;España
Ner_BCN_064;Alemania
Ner_Carmona_001;Córdoba
Ner_Carmona_001;Triniá de Dios
Ner_Carmona_002;Portugal
Ner_Carmona_002;Granáa
Ner_Carmona_003;Nazaret
Ner_Carmona_003;Galilea
Ner_Carmona_003;Judéa
Ner_Carmona_003;Nazaret
Ner_Carmona_003;Judéa
Ner_Carmona_003;Belen
Ner_Carmona_003;Oriente
Ner_Carmona_003;Belen
Ner_Carmona_003;Egipto
Ner_Carmona_003;Egipto
Ner_Carmona_003;Nazaret
Ner_Carmona_003;Cafarnaum
Ner_Carmona_003;Canaán
Ner_Carmona_004;Sevilla
Ner_Carmona_004;Sevilla
Ner_Carmona_004;Sevilla
Ner_Carmona_004;Andalucía
Ner_Carmona_006;Patre
Ner_Carmona_006;Galilea
Ner_Carmona_006;Bethlehen
Ner_Carmona_006;Oriente
Ner_Carmona_006;Oriente
Ner_Carmona_006;Bethle
Ner_Carmona_006;Israel
Ner_Carmona_006;Bethleh
Ner_Carmona_006;Oriente
Ner_Carmona_006;Regionem
Ner_Carmona_006;Coelum
Ner_Carmona_006;Patre
Ner_Carmona_006;Galilea
Ner_Carmona_006;S
Ner_Carmona_006;Mateo
Ner_Carmona_006;Bethlehen
Ner_Carmona_006;Oriente
Ner_Carmona_006;Oriente
Ner_Carmona_006;Bethle
Ner_Carmona_006;Israel
Ner_Carmona_006;Bethleh
Ner_Carmona_006;Oriente
Ner_Carmona_006;Regionem
Ner_Carmona_006;Coelum
Ner_Carmona_007;Africa
Ner_Carmona_007;Zacatin
Ner_Carmona_007;Joyanca
Ner_Carmona_007;Albercon del Negro
Ner_Carmona_007;Melilla
Ner_Carmona_007;Granaa
Ner_Carmona_007;San Antonio el Viejo
Ner_Varios_002;Rivera
Ner_Varios_002;Badajoz
Ner_Varios_002;Carmelo
Ner_Varios_002;España
Ner_Varios_002;Egipto
Ner_Varios_002;Rivera
Ner_Varios_002;Badajoz
Ner_Varios_002;Carmelo
Ner_Varios_002;España
Ner_Varios_002;Egipto
Ner_Varios_003;Tarifa
Ner_Varios_003;Sevilla
Ner_Varios_005;Torre de David
Ner_Varios_005;León
Ner_Varios_005;Belén
Ner_Varios_006;Antioquía
Ner_Varios_006;Atenas
Ner_Varios_006;Argos
Ner_Varios_006;Frigia
Ner_Varios_006;Egipto
Ner_Varios_006;Iudia
Ner_Varios_006;Antioquía
Ner_Varios_006;Antioquía
Ner_Varios_006;Nicomedia
Ner_Varios_006;Roma
Ner_Varios_006;de Letráu
Ner_Varios_007;España
Ner_Varios_007;Pinto
Ner_Varios_007;Valdemoro
Ner_Varios_007;España
Ner_Varios_007;España
Ner_Varios_007;China
Ner_Varios_007;Pekín
Ner_Varios_007;Habana
Ner_Varios_007;Morro
Ner_Varios_007;China
Ner_Varios_007;Filipinas
Ner_Varios_007;Gibraltar
Ner_Varios_007;Andalucía
Ner_Varios_007;Lorca
Ner_Varios_007;Motril
Ner_Varios_007;España
Ner_Varios_007;España
Ner_Varios_008;Córdoba
Ner_Varios_008;Santa Maria de Gracia
Ner_Varios_009;Europa
Ner_Varios_009;Murcia
Ner_Varios_009;Valencia
Ner_Varios_009;Navarra
Ner_Varios_009;Cueuca
Ner_Varios_009;Toledo
Ner_Varios_009;Aragon
Ner_Varios_009;España
Ner_Varios_009;Sevilla
Ner_Varios_010;Santa Coloma
Ner_Varios_010;Figueras
Ner_Varios_010;Santa Coloma
Ner_Varios_011;España
Ner_Varios_012;Caros
Ner_Varios_012;Caros
Ner_Varios_012;Caroz
Ner_Varios_012;Barcelona
Ner_Varios_012;Francia
Ner_Varios_012;Barcelona
Ner_Varios_012;Francia
Ner_Varios_012;España
Ner_Varios_012;Francia
Ner_Varios_012;Barcelona
Ner_Varios_012;Francia
Ner_Varios_012;Barcelona
Ner_Varios_012;Guillerías
Ner_Varios_012;Cataluña
Ner_Varios_012;Catalaña
Ner_Varios_012;Guillerías
Ner_Varios_012;Barcelona
Ner_Varios_012;Barcelona
Ner_Varios_012;Barcelena
Ner_Varios_012;Barcelona
Ner_Varios_014;Barcelona
Ner_Varios_014;Quim
Ner_Varios_015;Madrid
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;Madrid
Ner_Varios_015;Ceuta
Ner_Varios_015;Valencia
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;islas Carolinas
Ner_Varios_015;España
Ner_Varios_015;España
Ner_Varios_015;Melilla
Ner_Varios_015;Melilla
Ner_Varios_016;Belén
Ner_Varios_017;Belén
Ner_Varios_017;Belén
Ner_Varios_017;Belén
Ner_Varios_019;Africa
Ner_Varios_019;Almería
Ner_Varios_019;Tetuan
Ner_Varios_019;Tanger
Ner_Varios_019;Oriente
Ner_Varios_019;España
Ner_Varios_019;Marruecos
Ner_Varios_019;Tetuan
Ner_Varios_019;España
Ner_Varios_019;Tárger
Ner_Varios_019;España
Ner_Varios_019;TETUAN
Ner_Varios_019;España
Ner_Varios_019;España
Ner_Varios_019;España
Ner_Varios_019;Tetuan
Ner_Varios_020;Bauyolas
Ner_Varios_020;Cornellá
Ner_Varios_021;Cornudella
Ner_Varios_021;Barcelona
Ner_Varios_021;París
Ner_Varios_021;Rambla
Ner_Varios_021;catalá
Ner_Varios_021;Grecia
Ner_Varios_022;Santa Fé
Ner_Varios_022;Granada
Ner_Varios_022;España
Ner_Varios_022;España
Ner_Varios_023;Triana
Ner_Varios_023;Ebro
Ner_Varios_023;Triana
Ner_Varios_023;Ebro
Ner_Varios_023;Aragón
Ner_Varios_023;España
Ner_Varios_024;Barcelona.
Ner_Varios_024;Calle del Conde del Asalto
Ner_Varios_025;España
Ner_Varios_025;Castilla
Ner_Varios_025;Madrid
Ner_Varios_025;Madrid
Ner_Varios_025;Madrid
Ner_Varios_028;Oriente
Ner_Varios_028;Oriente
Ner_Varios_028;España
Ner_Varios_028;Aragon
Ner_Varios_028;Múrcia
Ner_Varios_028;Italia
Ner_Varios_028;Francia
Ner_Varios_028;España
Ner_Varios_028;Europa
Ner_Varios_029;Oriente
Ner_Varios_030;Oriente
Ner_Varios_034;Vilafranca
Ner_Varios_035;Vilafranca
Ner_Varios_038;MADRID
Ner_Varios_038;Madrid
Ner_Varios_039;Oriente
Ner_Varios_039;Madrid
Ner_Varios_040;Oriente
Ner_Varios_040;Oriente
Ner_Varios_040;CATALUNYA
Ner_Varios_040;Catalunya
Ner_Varios_040;Barcelona
Ner_Varios_040;Ampurdá
Ner_Varios_040;Catalá
Ner_Varios_040;Catalunya
Ner_Varios_040;Catalunya
Ner_Varios_040;Italia
Ner_Varios_040;Catalunya
Ner_Varios_041;Parca
Ner_Varios_043;Andalucía
Ner_Varios_043;Valencia
Ner_Varios_043;Aragón
Ner_Varios_043;Perú
Ner_Varios_045;España
Ner_Varios_045;España
Ner_Varios_045;España
Ner_Varios_045;España
Ner_Varios_046;Berzocana,provincia
Ner_Varios_046;Cáceresen
Ner_Varios_046;Cáceres
Ner_Varios_046;sierra de Guadalupe
Ner_Varios_046;España
Ner_Varios_046;Berzocana
Ner_Varios_046;Logrosán
Ner_Varios_046;Cáceres
Ner_Varios_047;Bayona
Ner_Varios_047;Venecia
Ner_Varios_047;Argel
Ner_Varios_047;Argel
Ner_Varios_047;España
Ner_Varios_047;Argel
Ner_Varios_047;Argel
Ner_Varios_050;Jaen
Ner_Varios_050;Porchets
Ner_Varios_050;Francia
Ner_Varios_050;Lóndres
Ner_Varios_050;Nueva-York
Ner_Varios_050;Madrid
Ner_Varios_050;Nueva-Yorck
Ner_Varios_050;Alberich
Ner_Varios_050;Sagua
Ner_Varios_050;Aragón
Ner_Varios_050;Aragón
